locality name,Price Range,Q/Q,trends,one bedroom,two bedroom,three bedroom
Thakur Village,"Rs. 15,598 - 17,680/sq. ft.",0%     ,See Trends,"Rs. 18,600 - 20,814","Rs. 27,358 - 31,678","Rs. 34,332 - 38,255"
Umershetpada,-,-,Not Available,"Rs. 25,152 - 26,981",-,-
Upper Govind Nagar,"Rs. 15,215 - 16,320/sq. ft.",3.56%  ,See Trends,"Rs. 21,658 - 24,752","Rs. 31,450 - 36,550","Rs. 37,628 - 45,375"
Ushma Nagar,"Rs. 17,978 - 18,190/sq. ft.",0%     ,See Trends,-,-,"Rs. 40,356 - 45,278"
Vaishali Nagar,"Rs. 11,220 - 12,368/sq. ft.",2.59%  ,See Trends,-,-,-
Vazira,"Rs. 16,192 - 18,742/sq. ft.",2.51%  ,See Trends,-,"Rs. 22,603 - 27,548",-
Veera Desai Road,"Rs. 17,808 - 19,508/sq. ft.",-1.78%  ,See Trends,"Rs. 27,115 - 30,855","Rs. 42,595 - 47,328","Rs. 48,396 - 57,195"
Versova,"Rs. 21,802 - 25,968/sq. ft.",3.35%  ,See Trends,"Rs. 30,042 - 35,764","Rs. 46,687 - 57,151","Rs. 63,250 - 77,306"
Vijay Nagar,-,-,Not Available,"Rs. 21,094 - 24,449",-,-
Vishveshwar Nagar,-,-,Not Available,"Rs. 22,074 - 24,990","Rs. 43,630 - 45,135",-
Yadav Nagar,-,-,Not Available,"Rs. 27,200 - 29,750","Rs. 46,367 - 60,195",-
Yamuna Nagar,"Rs. 21,250 - 22,525/sq. ft.",-,Not Available,-,"Rs. 43,658 - 48,668","Rs. 65,306 - 81,381"
Yari Road,"Rs. 18,530 - 23,375/sq. ft.",0%     ,See Trends,"Rs. 28,050 - 36,210","Rs. 42,798 - 50,872","Rs. 68,510 - 81,685"
Yashodham,-,-,Not Available,"Rs. 20,400 - 23,800","Rs. 31,725 - 39,103","Rs. 47,515 - 59,670"
Yogi Nagar,"Rs. 16,660 - 18,828/sq. ft.",0.96%  ,See Trends,"Rs. 17,404 - 20,974",-,-
Mumbai South West,,,,,,
Bandra (East),"Rs. 24,778 - 31,195/sq. ft.",-3.52%  ,See Trends,-,"Rs. 62,583 - 72,279","Rs. 1,07,686 - 1,31,325"
Bandra (West),"Rs. 32,980 - 39,695/sq. ft.",-2.61%  ,See Trends,"Rs. 46,410 - 55,080","Rs. 68,000 - 83,300","Rs. 1,07,440 - 1,42,800"
